judul,kategori,source,date
Jadwal Empat Wakil Indonesia di Semifinal Malaysia Masters 2020,sport,detik.com,"Sabtu, 11 Jan 2020 06:45 WIB"
"Sengit, Hangtuah Kalahkan Satya Wacana Lewat Overtime",sport,detik.com,"Sabtu, 11 Jan 2020 01:24 WIB"
Malaysia Masters: Indonesia Kirim Empat Wakil di Semifinal,sport,detik.com,"Sabtu, 11 Jan 2020 00:37 WIB"
"Dominan, China Sabet Tiga Gelar di Malaysia Masters 2020",sport,detik.com,"Minggu, 12 Jan 2020 19:42 WIB"
"Prediksi Duel antara AS Roma dengan Juventus, Siapa Menang?",sport,detik.com,"Minggu, 12 Jan 2020 18:48 WIB"
"Songsong Daihatsu Indonesia Masters 2020, Istora Hampir Siap 100 Persen",sport,detik.com,"Minggu, 12 Jan 2020 18:15 WIB"
"Nirgelar di Malaysia Masters, PBSI: Balas di Istora!",sport,detik.com,"Minggu, 12 Jan 2020 16:54 WIB"
"Cuma Sedikit Tiket Daihatsu Indonesia Masters yang Dijual Online, Tak Khawatir Calo?",sport,detik.com,"Minggu, 12 Jan 2020 15:38 WIB"
Palembang Triathlon 2020 Dihelat Bulan Depan,sport,detik.com,"Minggu, 12 Jan 2020 15:27 WIB"
"Hasil NBA: Tanpa LeBron dan Davis, Lakers Bekuk Thunder",sport,detik.com,"Minggu, 12 Jan 2020 14:59 WIB"
Panpel Daihatsu Indonesia Masters Antisipasi Cuaca Ekstrem di Sejumlah Titik Venue,sport,detik.com,"Minggu, 12 Jan 2020 14:09 WIB"
"Tottenham Kalah, Mourinho Kecewa Putusan Hakim Garis",sport,detik.com,"Minggu, 12 Jan 2020 10:54 WIB"
"Bungkam Napoli 0-1, Lazio Torehkan 10 Kemenangan Beruntun",sport,detik.com,"Minggu, 12 Jan 2020 10:32 WIB"
Liverpool Bikin Rekor Poin Eropa Usai Kalahkan Tottenham,sport,detik.com,"Minggu, 12 Jan 2020 09:02 WIB"
"Masuk Bursa Ketum PGI Jakarta, Reza Rajasa Bicara Potensi Besar Golf",sport,detik.com,"Minggu, 12 Jan 2020 00:42 WIB"
Tonton Shin Tae-Yong Gembleng Timnas U-19,sport,detik.com,"Senin, 13 Jan 2020 19:35 WIB"
Anthony Prediksi Persaingan Tunggal Putra di Daihatsu Indonesia Masters Sengit,sport,detik.com,"Senin, 13 Jan 2020 18:45 WIB"
