judul,kategori,date,source
"Jenazah Lina Jubaedah Dicurigai Lebam, Rumah Sakit Buka Suara",Seleb,"07/01/2020, 21:40 WIB",kompas.com
"Rizky Febian Laporkan Kematian Ibunya ke Polisi, Sule: Itu Haknya",Seleb,"07/01/2020, 21:07 WIB",kompas.com
Rumah Sakit Jelaskan Kronologi Meninggalnya Mantan Istri Sule,Seleb,"07/01/2020, 21:00 WIB",kompas.com
Lizzo Tinggalkan Twitter gara-gara Dicemooh Warganet,Seleb,"07/01/2020, 20:37 WIB",kompas.com
"Awalnya Deg-degan, Kini Syahnaz Bersyukur ASI untuk Bayi Kembarnya Cukup",Seleb,"07/01/2020, 20:36 WIB",kompas.com
"Sering Ditinggal Syuting, Istri Daus Mini Akui Terkadang Cemburu",Seleb,"07/01/2020, 20:29 WIB",kompas.com
"Terkait Laporan Rizky Febian, Polisi Akan Periksa Rekam Medis Lina Zubaedah",Seleb,"07/01/2020, 20:28 WIB",kompas.com
Kucumbu Tubuh Indahku dan Ambu Wakili Indonesia di Festival Film Asia Pasifik,Film,"02/01/2020, 22:35 WIB",kompas.com
Medina Zein Dipulangkan? Ini Kata Polisi ,Seleb,"02/01/2020, 22:19 WIB",kompas.com
"Buka Suara, Ibunda Medina Zein Yakin Telah Didik Anaknya dengan Baik",Seleb,"02/01/2020, 21:33 WIB",kompas.com
Daesung BIGBANG Dinyatakan Tak Terlibat Bisnis Ilegal di Gedung Miliknya,Seleb,"02/01/2020, 21:11 WIB",kompas.com
"30 Kios Geprek Bensu Tutup karena Banjir, Ruben Onsu Drop ",Seleb,"02/01/2020, 20:39 WIB",kompas.com
"Perdana, D’MASIV Bakal Rilis Album dengan Lagu Berbahasa Inggris",Musik,"02/01/2020, 20:14 WIB",kompas.com
"Kejutan Awal Tahun, B.I Eks iKON Rilis Lagu dengan Lirik Menguras Emosi",Musik,"02/01/2020, 19:21 WIB",kompas.com
"Tahun Baru Bareng, Sheila Dara Ungkap Kondisi Terkini Vidi Aldiano",Seleb,"02/01/2020, 19:14 WIB",kompas.com
Ayu Ting Ting Tinjau Korban Banjir di Kawasan Depok ,Seleb,"02/01/2020, 19:07 WIB",kompas.com
Nikita Mirzani Mangkir dari Panggilan Polisi,Seleb,"02/01/2020, 19:06 WIB",kompas.com
5 Alasan Momo TWICE dan Heechul Super Junior Bucin Satu Sama Lain,Seleb,"02/01/2020, 18:51 WIB",kompas.com
"Faank Wali Ingin Berlibur Keliling Dunia Seperti Raffi Ahmad, tetapi...",Seleb,"02/01/2020, 18:32 WIB",kompas.com
